Line Number	Verse Reference	Word	Closest Match	Similarity	Verse Match?	Area Match?	Full Line
8916	ΒΑΣΙΛΕΙΩΝ Α 8:12	ἑκατονάρχους	ἑκατοντάρχους	0.96	Yes	No	\vs{12}καὶ θέσθαι αὐτοὺς ἑαυτῷ ἑκατονάρχους καὶ χιλιάρχους, καὶ θερίζειν θερισμὸν αὐτοῦ, καὶ τρυγᾷν τρυγητὸν αὐτοῦ, καὶ ποιεῖν σκεύη πολεμικὰ αὐτοῦ, καὶ σκεύη ἁρμάτων αὐτοῦ.
12214	ΒΑΣΙΛΕΙΩΝ Δ 15:2	πεντηκονταδύο	πεντηκόνταρχον	0.81	No	No	\vs{2}Υἱὸς ἑκκαίδεκα ἐτῶν ἦν ἐν τῷ βασιλεύειν αὐτὸν, καὶ πεντηκονταδύο ἔτη ἐβασίλευσεν ἐν Ἱερουσαλὴμ, καὶ ὄνομα τῇ μητρὶ αὐτοῦ Ἱεχελία ἐξ Ἱερουσαλήμ.
12716	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 2:21	ἑξηκονταπέντε	ἑξηκονταετῶν	0.80	No	No	\vs{21}Καὶ μετὰ ταῦτα εἰσῆλθεν Ἐσρὼν πρὸς τὴν θυγατέρα Μαχὶρ πατρὸς Γαλαὰδ, καὶ αὐτὸς ἔλαβεν αὐτὴν, καὶ αὐτὸς ἑξηκονταπέντε ἐτῶν ἦν· καὶ ἔτεκεν αὐτῷ τὸν Σερούχ.
14810	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 35:8	διαχίλια	δισχίλια	0.88	Yes	No	\vs{8}Καὶ οἱ ἄρχοντες αὐτοῦ ἀπήρξαντο τῷ λαῷ καὶ τοῖς ἱερεῦσι καὶ τοῖς Λευίταις· ἔδωκε δὲ Χελκίας καὶ Ζαχαρίας καὶ Ἰεϊὴλ οἱ ἄρχοντες τοῖς ἱερεῦσιν οἴκου Θεοῦ, καὶ ἔδωκαν εἰς τὸ φασὲκ πρόβατα καὶ ἀμνοὺς καὶ ἐρίφους διαχίλια ἑξακόσια, καὶ μόσχους τριακοσίους.
15190	ΕΣΔΡΑΣ 8:35	ἑβδομηκονταεπτὰ	ἑβδομήκοντα καὶ	0.83	Yes	No	\vs{35}Ἐν τῷ καιρῷ ἐκείνῳ οἱ ἐλθόντες ἐκ τῆς αἰχμαλωσίας υἱοὶ τῆς παροικίας, προσήνεγκαν ὁλοκαυτώσεις τῷ Θεῷ Ἰσραὴλ, μόσχους δώδεκα περὶ παντὸς Ἰσραὴλ, κριοὺς ἐννενηκανταὲξ, ἀμνοὺς ἑβδομηκονταεπτὰ, χιμάρους περὶ ἁμαρτίας δώδεκα, τὰ πάντα ὁλοκαυτώματα τῷ Κυρίῳ·
17427	ΙΩΒ 41:7	σμυρίτης	σμιρίτης	0.88	Yes	No	\vs{7}Τὰ ἔγκατα αὐτοῦ ἀσπίδες χάλκεαι. σύνδεσμος δὲ αὐτοῦ, ὥσπερ σμυρίτης λίθος.
29527	ΣΟΦΟΝΙΑΣ 3:8	εἰσδέκασθαι	εἰσδέξασθαι	0.91	Yes	No	\vs{8}Διατοῦτο ὑπόμεινόν με, λέγει Κύριος, εἰς ἡμέραν ἀναστάσεώς μου εἰς μαρτύριον· διὸ τὸ κρίμα μου εἰς συναγωγὰς ἐθνῶν, τοῦ εἰσδέκασθαι βασιλεῖς, τοῦ ἐκχέαι ἐπʼ αὐτοὺς πᾶσαν ὀργὴν θυμοῦ· διότι ἐν πυρὶ ζήλου μου καταναλωθήσεται πᾶσα ἡ γῆ.
30089	ΕΣΔΡΑΣ Α 2:13	διοχίλιαι	δισχίλιαι	0.89	No	Yes	\vs{13}Ὁ δὲ τούτων ἀριθμὸς ἦν, σπονδεῖα χρυσᾶ χίλια, σπονδεῖα ἀργυρᾶ χίλια, θυΐσκαι ἀργυραῖ εἰκοσιεννέα, φιάλαι χρυσαῖ τριάκοντα, ἀργυραῖ διοχίλιαι τετρακόσιαι δέκα, καὶ ἄλλα σκεύη χίλια.
30291	ΕΣΔΡΑΣ Α 5:42	τριακονταεπτά	τριάκοντα ἕξ	0.83	Yes	No	\vs{42}Παῖδες τούτων καὶ παιδίσκαι, ἑπτακισχίλιοι τριακόσιοι τριακονταεπτά. ψάλται καὶ ψαλτῳδοὶ, διακόσιοι τεσσαρακονταπέντε·
37118	ΜΑΚΚΑΒΑΙΩΝ Δ 16:7	δεκάηνοι	δεκάμηνοι	0.94	Yes	No	\vs{7}Ὦ μάταιοι ἐπτὰ κυοφορίαι, καὶ ἀνόνητοι ἐπτὰ δεκάηνοι, καὶ ἄκαρποι τιθηνίαι, καὶ ταλαίπωροι γαλακτοτροφίοι.
